"rank","tier","confidence","name","filing_date","state","industry","amount_offered_usd","amount_sold_usd","investors","archetype","total_score","solo_buildability","business_potential","fundability","korea_fit","global_fit","adjacent_optionality","product_summary","solo_idea","revenue_model","moat_to_build","expansion","risk","build_window","official_url","sec_url"
"14","관찰","C","Influence Craft, Inc.","2026-05-19","CA","Other Technology","","350000","4","마케팅·영업·고객운영","88","23","21","19","13","8","4","Turn your team s voice notes into ready-to-publish content across 14+ channels. Agent Craft writes, formats, and publishes — so…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://agentcraft.ai/","https://www.sec.gov/Archives/edgar/data/2135691/000109991026000188/0001099910-26-000188-index.html"
"15","관찰","C","Haus Team Technologies, Inc.","2026-04-29","CA","Business Services","66500","66500","6","마케팅·영업·고객운영","88","23","22","17","13","9","4","Make smarter enterprise marketing investments with Haus’ AI-powered causal marketing platform and expert guidance.","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.haus.io/","https://www.sec.gov/Archives/edgar/data/2125730/000212573026000001/0002125730-26-000001-index.html"
"16","핵심","B","Detect Auto Inc.","2025-12-09","ND","Other Technology","3250000","2875000","7","현장·건설·산업 운영","88","20","24","18","14","8","4","Detect Auto streamlines your auto shop s service process with powerful automations that save time, boost maintenance sales, and improve…","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://detectauto.com/","https://www.sec.gov/Archives/edgar/data/2097158/000209715825000001/0002097158-25-000001-index.html"
"17","응용","A","Undeniable Health AI Inc.","2026-06-22","NY","Other Technology","600000","600000","13","의료 수익·청구 운영","88","19","25","20","12","8","4","AI agents for healthcare claims recovery. We help clinical labs and billing companies recover denied claims faster and at a…","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.undeniablehealth.ai/","https://www.sec.gov/Archives/edgar/data/2130106/000213010626000002/0002130106-26-000002-index.html"
"18","핵심","A","TEAM PROCURE, INC.","2026-06-02","ID","Other Technology","100000","100000","2","조달·물류·공급망","88","20","24","18","13","9","4","Team Procure is a cloud-based procurement suite that helps businesses manage purchase requests, purchase orders, approvals, RFQs, and suppliers.","RFQ·견적·발주·선적 문서를 읽고 누락, 가격변경, 납기 예외를 한 업종에서 자동 처리","업체당 월 구독 + 문서/거래 건수","거래처별 예외, 품목 매핑, 납기·견적 결과","한국 수출기업에서 시작해 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.teamprocure.com/","https://www.sec.gov/Archives/edgar/data/2133949/000213394926000001/0002133949-26-000001-index.html"
"19","핵심","A","ASK THE AGENT INC","2025-10-31","FL","Other Technology","","","0","음성·프런트데스크","88","23","24","14","14","9","4","The Industry's Only Personalized, Interactive Video Hosting & Conversational AI Platform Built for the Modern Agent.","치과·자동차정비·수리업 중 하나의 전화 접수, 예약, 미응답 후속연락을 사람 전환과 함께 자동화","지점당 월 구독 + 통화량 + 초기 연동비","업종별 통화 결과, 예약 전환, 실패·사람 전환 규칙","한국에서 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://asktheagent.com/","https://www.sec.gov/Archives/edgar/data/2022795/000109690625001724/0001096906-25-001724-index.html"
"20","핵심","A","Ranger RFX, Inc.","2026-04-13","NY","Other Technology","6000000","6000000","4","조달·물류·공급망","87","20","24","18","13","8","4","Ranger connects every industrial team, every workflow, and every document across your entire operation. AI agents purpose-built for procurement, engineering,…","RFQ·견적·발주·선적 문서를 읽고 누락, 가격변경, 납기 예외를 한 업종에서 자동 처리","업체당 월 구독 + 문서/거래 건수","거래처별 예외, 품목 매핑, 납기·견적 결과","한국 수출기업에서 시작해 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.rangerx.ai/","https://www.sec.gov/Archives/edgar/data/2127868/000212786826000001/0002127868-26-000001-index.html"
"21","응용","A","Vali Cyber, Inc.","2025-08-26","VA","Other Technology","4999997","4599997","8","보안·AI 거버넌스","87","18","23","19","13","10","4","Vali Cyber hypervisor ransomware protection with ZeroLock® using AI behavioral detection, prevention controls, and automated remediation.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://valicyber.com/","https://www.sec.gov/Archives/edgar/data/1987280/000205432925000003/0002054329-25-000003-index.html"
"22","응용","A","Accelerated Cloud Storage Corp","2026-04-06","DE","Other Technology","3865000","3865000","5","개발도구·데이터","87","22","21","20","10","10","4","Globally distributed, performant, S3 compatible object storage for AI workloads","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.acceleratedcloudstorage.com/","https://www.sec.gov/Archives/edgar/data/2127357/000212735726000001/0002127357-26-000001-index.html"
"23","핵심","A","Brand Engagement Network Inc.","2026-02-25","DE","Other Technology","16193800","1012000","1","마케팅·영업·고객운영","87","23","22","17","13","8","4","BEN’s commercial-ready AI solutions deliver human-like responses using natural language, combined with the ability to remember customer details and problem…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://brandengagementnetwork.com/","https://www.sec.gov/Archives/edgar/data/1838163/000149315226007963/0001493152-26-007963-index.html"
"24","핵심","A","ARTI ANALYTICS, INC.","2026-01-21","CA","Other Technology","1000000","446370","3","개발도구·데이터","87","22","21","20","10","10","4","Leading enterprise AI platform with patented AI technologies, intelligent applications, and scalable infrastructure for business transformation.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://artianalytics.com/","https://www.sec.gov/Archives/edgar/data/1993638/000199363826000003/0001993638-26-000003-index.html"
"25","핵심","A","FlowState Analytics Inc.","2026-06-25","IN","Other Technology","450000","95000","2","현장·건설·산업 운영","87","20","24","18","14","7","4","FlowState reveals inter-station bottlenecks, lost builds, and throughput gaps in real time. Production flow analytics purpose-built for discrete manufacturing.","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.flowstateanalytics.com/","https://www.sec.gov/Archives/edgar/data/2140533/000214053326000001/0002140533-26-000001-index.html"
"26","응용","A","Infera Health, Inc.","2025-03-17","CA","Other","2599999","","5","보안·AI 거버넌스","87","18","23","19","13","10","4","Compliance is expensive, distracting, and low value-add. Let agents handle it.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://infera.com/","https://www.sec.gov/Archives/edgar/data/2061090/000206109025000001/0002061090-25-000001-index.html"
"27","관찰","C","Platformr.Cloud Inc.","2026-01-14","OR","Other Technology","2750000","1775000","3","개발도구·데이터","86","22","21","19","10","10","4","Launch an AWS Landing Zone in minutes and centralize AWS Cloud operations with best practices for secure, reliable cloud infrastructure…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://platformr.cloud/","https://www.sec.gov/Archives/edgar/data/2034305/000203430526000004/0002034305-26-000004-index.html"
"28","핵심","B","Finch Legal Inc.","2025-06-16","NY","Other Technology","23749980","23699985","18","법률·전문서비스 운영","86","22","24","14","13","9","4","More cases, less busy work. Upgrade your personal injury firm’s pre-litigation playbook with elite paralegals and next generation AI tools.","사건 접수, 증거 타임라인, 문서 품질검사, 청구 가능 활동 포착 중 하나를 HWP·이메일과 연결","사용자당 월 구독 + 구축비 또는 복원매출 수수료","한국 문서·업무 템플릿, 전문가 수정 이력, 사건 결과 라벨","한국·일본 전문서비스","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.finchlegal.com/","https://www.sec.gov/Archives/edgar/data/2073379/000123191925000076/0001231919-25-000076-index.html"
"29","응용","B","Thrive Therapies Group, Inc.","2026-06-25","TN","Other Health Care","6999520","1867689","3","보안·AI 거버넌스","86","18","23","19","13","9","4","Revolutionizing special education with intelligent tools and results-driven services. Built by clinicians to save time, ensure compliance, and improve outcomes.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.thrivetherapiesgroup.com/","https://www.sec.gov/Archives/edgar/data/2141455/000214145526000001/0002141455-26-000001-index.html"
"30","응용","B","Trava Security, Inc.","2025-05-20","IN","Other Technology","1500000","1202021","11","보안·AI 거버넌스","86","18","23","18","13","10","4","One partner for security and compliance. Expert-led advisory, penetration testing, and managed programs for SOC 2, ISO 27001, HIPAA, and…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://travasecurity.com/","https://www.sec.gov/Archives/edgar/data/1853277/000185327725000003/0001853277-25-000003-index.html"
"31","응용","B","Prism Layer AI, Inc.","2026-05-15","DE","Other Technology","1000000","1000000","8","보안·AI 거버넌스","86","18","23","19","13","9","4","Prism Layer turns your risk framework into an execution layer: structured, auditable risk decisions in seconds, grounded in your data…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.prismlayer.ai/","https://www.sec.gov/Archives/edgar/data/2133683/000213368326000001/0002133683-26-000001-index.html"
"32","응용","B","Core Foundry Labs, LLC","2026-03-31","CA","Other Technology","5000000","","2","보안·AI 거버넌스","86","18","22","19","13","10","4","Core Foundry Labs in Burbank, CA, offers global services for product development and brand identity design. Let's turn your creative…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://corefoundrylabs.com/","https://www.sec.gov/Archives/edgar/data/2125490/000212549026000001/0002125490-26-000001-index.html"
"33","핵심","A","Charta Health, Inc.","2025-07-22","CA","Other Technology","30079990","30079990","11","의료 수익·청구 운영","86","21","25","15","13","8","4","Charta is the AI chart review platform that delivers 11% revenue lift by scaling pre-billing chart review across 100% of…","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.chartahealth.com/","https://www.sec.gov/Archives/edgar/data/2077107/000207710725000001/0002077107-25-000001-index.html"
"34","핵심","A","Carpool Logistics, Inc.","2025-01-13","GA","Other","11650001","10650001","10","조달·물류·공급망","86","20","24","17","13","8","4","We are an automotive logistics company leveraging technology to optimize vehicle shipping. We connect vehicle shippers with auto haulers that…","RFQ·견적·발주·선적 문서를 읽고 누락, 가격변경, 납기 예외를 한 업종에서 자동 처리","업체당 월 구독 + 문서/거래 건수","거래처별 예외, 품목 매핑, 납기·견적 결과","한국 수출기업에서 시작해 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://carpoollogistics.com/","https://www.sec.gov/Archives/edgar/data/1940256/000194025625000001/0001940256-25-000001-index.html"
"35","핵심","A","LogiCall Health, Inc.","2025-01-02","CO","Other Technology","4447500","3947500","14","개발도구·데이터","86","22","21","19","10","10","4","LogiCall is a cloud-based solution facilitating unscheduled smartphone video calls between patients and their providers — around the clock.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.logicallhealth.com/","https://www.sec.gov/Archives/edgar/data/2049951/000204995125000001/0002049951-25-000001-index.html"
"36","응용","A","NROC Security, Inc.","2025-10-14","NY","Other Technology","2778998","1674064","4","보안·AI 거버넌스","86","18","23","19","13","9","4","Employees are already using GenAI. Secure enterprise AI with real-time guardrails, data protection, and full visibility—while safely increasing productivity.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.nrocsecurity.com/","https://www.sec.gov/Archives/edgar/data/2091037/000209103725000001/0002091037-25-000001-index.html"
"37","응용","A","ADAS AI TRAK Corp","2026-05-11","FL","Business Services","3000000","1672400","10","보험 운영","86","19","24","20","12","7","4","TRAK is the leading ADAS calibration management platform that turns collision-repair estimates into precise, insurance-ready workflows. Capture revenue, ensure OEM…","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.adastrak.com/","https://www.sec.gov/Archives/edgar/data/2134567/000213456726000001/0002134567-26-000001-index.html"
"38","핵심","A","Scale Social AI, Inc.","2026-03-06","NC","Other Technology","1261900","1261900","16","개발도구·데이터","86","22","20","20","10","10","4","Scale Social turns customers into your greatest storytellers with an AI-powered UGC infrastructure built for predictable content performance.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://scalesocial.ai/","https://www.sec.gov/Archives/edgar/data/2106485/000210648526000001/0002106485-26-000001-index.html"
"39","핵심","A","Red Thread, Inc.","2026-01-28","CO","Other Technology","3000000","1000000","1","조달·물류·공급망","86","20","23","17","13","9","4","Unlock healthcare supply chain excellence with AI-powered insights that eliminate inventory headaches, cut waste, and boost profitability—seamlessly integrated with your…","RFQ·견적·발주·선적 문서를 읽고 누락, 가격변경, 납기 예외를 한 업종에서 자동 처리","업체당 월 구독 + 문서/거래 건수","거래처별 예외, 품목 매핑, 납기·견적 결과","한국 수출기업에서 시작해 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.redthread.ai/","https://www.sec.gov/Archives/edgar/data/2107470/000210747026000001/0002107470-26-000001-index.html"
"40","핵심","A","Dendritic Health AI, Inc.","2026-04-08","MI","Other Technology","1000000","279999","3","인력·교육·온보딩","86","22","19","20","12","9","4","Dendritic Health builds next-generation healthcare education tools. We are the creators of Neural Consult, an AI-powered medical education platform.","규정·업무 문서 기반 신규직원 온보딩, 역할별 코칭, 이수·업무수행 증빙을 한 직군에 제공","사용자당 월 구독 + 콘텐츠 구축비","직군별 평가·성과 데이터, 사내문서 연동","한국·일본 B2B 교육","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.dendritichealth.com/","https://www.sec.gov/Archives/edgar/data/2032339/000203233926000001/0002032339-26-000001-index.html"
"41","핵심","A","Talk to Fred LLC","2026-04-27","TX","Other Technology","488000","112500","4","마케팅·영업·고객운영","86","21","22","18","12","9","4","Every lead gets an answer. Fred is the AI agent for your website that captures leads, answers from your content,…","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","긴 조달 가능성 — 민간 공급자부터 진입","6–8주","https://talktofred.ai/","https://www.sec.gov/Archives/edgar/data/2131347/000213134726000001/0002131347-26-000001-index.html"
