"rank","verdict","tier","confidence","identity_score","inspiration_mode","name","filing_date","state","industry","industry_ko","amount_offered_usd","amount_sold_usd","investors","archetype","total_score","solo_buildability","first_revenue_speed","revenue_profit_potential","korea_business_fit","global_expansion","data_workflow_moat","investment_fit_score","first_revenue_band","product_summary","product_summary_en","opportunity_origin","solo_idea","first_offer","pricing_model","target_customer","acquisition_channel","moat_to_build","korean_analog","korea_strategy","global_strategy","penalties","risk","build_window","official_url","sec_url"
"91","조건부","응용","B","65","direct","Rivvun AI Inc.","2026-06-08","WA","Other Technology","기타 기술","450000","450000","2","재무·백오피스","86","21","14","20","13","9","9","16","1~3개월","Rivvun은 기업 P&L 워크플로우 전반에서 지출 누수, 수익 누수 및 마진 침식을 감지, 확인 및 조치하는 자율 에이전트 실행 계층입니다.","Rivvun is an autonomous agentic execution layer that detects, verifies, and acts on spend leakage, revenue leakage, and margin erosion across enterprise P&L workflows.","계약·송장·입금·미수·회계 자료가 맞지 않아 현금 회수와 마감이 늦어지는 문제","계약·송장·입금·미수금의 불일치를 찾아 후속조치 초안을 만들고 사람이 승인","미수·송장 3개월치를 대조해 회수 우선순위와 고객별 후속문안을 제공하는 유료 진단","회사당 월 60만~300만원 + 온보딩비 또는 회수 성과수수료","계약·송장·입금·미수 관리가 복잡한 중소 B2B 기업 대표와 재무 담당자","회계사·세무사·ERP 파트너, 미수 회수·마감 단축 사례 기반 직접 영업","ERP·회계 연동, 예외·승인·회수 결과와 거래처별 지불 패턴","회계·세무 SaaS가 강하므로 불일치 탐지와 실제 회수 성과에 집중","ERP를 교체하지 않고 계약·전자세금계산서·입금 불일치와 후속조치를 연결","한국에서 회수·마감 성과를 검증한 뒤 싱가포르·호주 회계 연동으로 확장","대기업·공공 조달과 보안심사로 첫 매출이 느릴 수 있음","대기업·공공 조달과 보안심사로 첫 매출이 느릴 수 있음","6~8주 MVP","https://rivvun.ai/","https://www.sec.gov/Archives/edgar/data/2136648/000119983526000227/0001199835-26-000227-index.html"
"92","추천","핵심","B","70","direct","Freckle.io, Inc.","2025-05-14","MA","Other Technology","기타 기술","4000000","1550000","2","마케팅·영업·고객운영","85","21","18","17","13","9","7","14","30일","Freckle은 자연어 요청만으로 웹과 40개 이상의 데이터 제공처에서 원하는 회사·담당자 정보를 찾아 HubSpot과 Salesforce를 보강한다.","Modern CRM enrichment for HubSpot & Salesforce. Freckle’s AI agents find any data point on company and contact data across the web and 40+ data providers, all through natural language inputs.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","규제 판단을 제외하고 사람 승인형 운영 보조로 제한","규제 판단을 제외하고 사람 승인형 운영 보조로 제한","6~8주 MVP","https://www.freckle.io/","https://www.sec.gov/Archives/edgar/data/1973111/000197311125000002/0001973111-25-000002-index.html"
"93","추천","핵심","B","69","direct","Engin Sciences Inc.","2025-03-28","NY","Other","기타","1000000","700000","4","인력·교육·온보딩","85","20","18","17","13","9","8","14","30일","engin은 채용, 채용 마케팅, 관리용으로 설계된 채용 소프트웨어로 CRM과 유연한 지원자 추적 시스템을 제공합니다.","engin is recruiting software designed for hiring, recruitment marketing, and management —offering CRM and a flexible applicant tracking system.","채용·교육·온보딩이 문서 전달에 머물러 실제 업무 수행과 규정 이수를 측정하기 어려운 문제","한 직군의 실제 업무 문서로 온보딩·역할별 코칭·이수·업무수행 증빙을 자동화","신규직원 한 역할의 문서·상황 20개를 평가형 온보딩으로 바꾸는 유료 제작 파일럿","사용자당 월 2만~10만원 + 콘텐츠 구축비 200만~1,000만원","현장·서비스 직군을 반복 채용하는 중소·중견기업의 인사·교육 책임자","직군 협회, HR·LMS 파트너, 교육기관과 역할별 평가 콘텐츠","직군별 평가·성과 데이터, 사내문서 연동과 실제 업무수행 결과","채용·교육 도구가 많으므로 콘텐츠 전달보다 실제 업무수행 측정에 집중","한 직군의 역할극·업무 증빙을 국내 규정과 조직 용어에 맞게 제공","한국에서 한 직군을 검증한 뒤 일본·동남아 현지 언어·규정 평가팩으로 확장","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","6~8주 MVP","http://enginsciences.com/","https://www.sec.gov/Archives/edgar/data/1945247/000194524725000001/0001945247-25-000001-index.html"
"94","추천","핵심","B","65","direct","Attuned Corp.","2026-05-29","CA","Other Technology","기타 기술","24777489","24777489","55","인력·교육·온보딩","85","20","18","17","13","9","8","10","30일","Attuned는 관리자가 각 팀 구성원의 원동력을 이해하는 데 도움이 되는 내재적 동기 부여 평가 및 직원 참여 플랫폼입니다. AI 기반 동기 부여 통찰력을 통해 참여도를 높이고 이직률을 줄이며 성과가 뛰어난 팀을 구축하세요.","Attuned is an intrinsic motivation assessment and employee engagement platform that helps managers understand what drives each team member. Boost engagement, reduce turnover, and build high-performing teams with AI-powered motivational insights.","채용·교육·온보딩이 문서 전달에 머물러 실제 업무 수행과 규정 이수를 측정하기 어려운 문제","한 직군의 실제 업무 문서로 온보딩·역할별 코칭·이수·업무수행 증빙을 자동화","신규직원 한 역할의 문서·상황 20개를 평가형 온보딩으로 바꾸는 유료 제작 파일럿","사용자당 월 2만~10만원 + 콘텐츠 구축비 200만~1,000만원","현장·서비스 직군을 반복 채용하는 중소·중견기업의 인사·교육 책임자","직군 협회, HR·LMS 파트너, 교육기관과 역할별 평가 콘텐츠","직군별 평가·성과 데이터, 사내문서 연동과 실제 업무수행 결과","채용·교육 도구가 많으므로 콘텐츠 전달보다 실제 업무수행 측정에 집중","한 직군의 역할극·업무 증빙을 국내 규정과 조직 용어에 맞게 제공","한국에서 한 직군을 검증한 뒤 일본·동남아 현지 언어·규정 평가팩으로 확장","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","6~8주 MVP","https://www.attuned.ai/","https://www.sec.gov/Archives/edgar/data/2125497/000212549726000001/0002125497-26-000001-index.html"
"95","추천","핵심","B","65","direct","Pete Inc.","2026-04-17","FL","Other Technology","기타 기술","1000000","500000","5","인력·교육·온보딩","85","20","18","17","13","9","8","16","30일","PETE는 맞춤형 콘텐츠로 창작자와 학생을 위한 수업을 최적화하는 유일한 AI 기반 학습 플랫폼입니다. PETE의 AI 기반 학습 플랫폼으로 강좌 생성을 가속화하고 학습 효과를 높이세요.","PETE is the only AI-powered learning platform that optimizes lessons for creators and students with customized content. Accelerate course creation and boost learning effectiveness with PETE s AI-powered Learning Platform.","채용·교육·온보딩이 문서 전달에 머물러 실제 업무 수행과 규정 이수를 측정하기 어려운 문제","한 직군의 실제 업무 문서로 온보딩·역할별 코칭·이수·업무수행 증빙을 자동화","신규직원 한 역할의 문서·상황 20개를 평가형 온보딩으로 바꾸는 유료 제작 파일럿","사용자당 월 2만~10만원 + 콘텐츠 구축비 200만~1,000만원","현장·서비스 직군을 반복 채용하는 중소·중견기업의 인사·교육 책임자","직군 협회, HR·LMS 파트너, 교육기관과 역할별 평가 콘텐츠","직군별 평가·성과 데이터, 사내문서 연동과 실제 업무수행 결과","채용·교육 도구가 많으므로 콘텐츠 전달보다 실제 업무수행 측정에 집중","한 직군의 역할극·업무 증빙을 국내 규정과 조직 용어에 맞게 제공","한국에서 한 직군을 검증한 뒤 일본·동남아 현지 언어·규정 평가팩으로 확장","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","6~8주 MVP","https://www.pete.com/","https://www.sec.gov/Archives/edgar/data/2022572/000202257226000003/0002022572-26-000003-index.html"
"96","비추천","관찰","C","58","direct","Deeptune, Inc.","2026-02-23","NY","Other Technology","기타 기술","42165998","42165998","19","인력·교육·온보딩","85","22","18","15","13","9","8","12","30일","Deeptune은 AI 에이전트가 Slack·Salesforce 같은 업무 환경에서 과제를 연습하고 학습하도록 시뮬레이션 환경·데이터셋·인프라를 제공한다.","Training gyms for AI agents","채용·교육·온보딩이 문서 전달에 머물러 실제 업무 수행과 규정 이수를 측정하기 어려운 문제","한 직군의 실제 업무 문서로 온보딩·역할별 코칭·이수·업무수행 증빙을 자동화","신규직원 한 역할의 문서·상황 20개를 평가형 온보딩으로 바꾸는 유료 제작 파일럿","사용자당 월 2만~10만원 + 콘텐츠 구축비 200만~1,000만원","현장·서비스 직군을 반복 채용하는 중소·중견기업의 인사·교육 책임자","직군 협회, HR·LMS 파트너, 교육기관과 역할별 평가 콘텐츠","직군별 평가·성과 데이터, 사내문서 연동과 실제 업무수행 결과","채용·교육 도구가 많으므로 콘텐츠 전달보다 실제 업무수행 측정에 집중","한 직군의 역할극·업무 증빙을 국내 규정과 조직 용어에 맞게 제공","한국에서 한 직군을 검증한 뒤 일본·동남아 현지 언어·규정 평가팩으로 확장","공식 제품 설명이 짧아 고객 인터뷰 전 제품 범위 확인 필요","공식 제품 설명이 짧아 고객 인터뷰 전 제품 범위 확인 필요","4~6주 MVP","https://deeptune.com/","https://www.sec.gov/Archives/edgar/data/2110959/000211095926000001/0002110959-26-000001-index.html"
"97","조건부","응용","B","65","adjacent","Rhofin Inc.","2026-03-02","DE","Other Technology","기타 기술","150000","150000","1","재무·백오피스","85","20","16","20","13","8","8","13","1~3개월","Rhofin은 미국 수입업체·유통업체·브랜드가 물류 서비스 안에서 이용하는 공급업체 직결 재고금융을 제공한다.","Supplier-direct inventory finance for US importers, distributors and brands, built into your logistics provider","계약·송장·입금·미수·회계 자료가 맞지 않아 현금 회수와 마감이 늦어지는 문제","계약·송장·입금·미수금의 불일치를 찾아 후속조치 초안을 만들고 사람이 승인","미수·송장 3개월치를 대조해 회수 우선순위와 고객별 후속문안을 제공하는 유료 진단","회사당 월 60만~300만원 + 온보딩비 또는 회수 성과수수료","계약·송장·입금·미수 관리가 복잡한 중소 B2B 기업 대표와 재무 담당자","회계사·세무사·ERP 파트너, 미수 회수·마감 단축 사례 기반 직접 영업","ERP·회계 연동, 예외·승인·회수 결과와 거래처별 지불 패턴","회계·세무 SaaS가 강하므로 불일치 탐지와 실제 회수 성과에 집중","ERP를 교체하지 않고 계약·전자세금계산서·입금 불일치와 후속조치를 연결","한국에서 회수·마감 성과를 검증한 뒤 싱가포르·호주 회계 연동으로 확장","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","6~8주 MVP","https://www.rhofin.com/","https://www.sec.gov/Archives/edgar/data/2113404/000211340426000001/0002113404-26-000001-index.html"
"98","조건부","응용","B","65","adjacent","Zebantra, Inc.","2026-04-23","AZ","Business Services","기업 서비스","1000000","25000","1","재무·백오피스","85","20","16","20","13","8","8","5","1~3개월","Zebantra는 중소기업의 급여·세금·복리후생·산재보험·규정준수와 인사행정을 전담하는 AI 기반 전문고용주조직 서비스다.","Got HR Stress? We Put Your HR Worries to Rest! We’re not your average PEO. We’re YOUR — dedicated, trusted team that turns payroll panic, compliance chaos, and benefits boredom","계약·송장·입금·미수·회계 자료가 맞지 않아 현금 회수와 마감이 늦어지는 문제","계약·송장·입금·미수금의 불일치를 찾아 후속조치 초안을 만들고 사람이 승인","미수·송장 3개월치를 대조해 회수 우선순위와 고객별 후속문안을 제공하는 유료 진단","회사당 월 60만~300만원 + 온보딩비 또는 회수 성과수수료","계약·송장·입금·미수 관리가 복잡한 중소 B2B 기업 대표와 재무 담당자","회계사·세무사·ERP 파트너, 미수 회수·마감 단축 사례 기반 직접 영업","ERP·회계 연동, 예외·승인·회수 결과와 거래처별 지불 패턴","회계·세무 SaaS가 강하므로 불일치 탐지와 실제 회수 성과에 집중","ERP를 교체하지 않고 계약·전자세금계산서·입금 불일치와 후속조치를 연결","한국에서 회수·마감 성과를 검증한 뒤 싱가포르·호주 회계 연동으로 확장","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","6~8주 MVP","https://zebantra.com/","https://www.sec.gov/Archives/edgar/data/2130410/000213041026000001/0002130410-26-000001-index.html"
"99","추천","핵심","B","65","direct","MySavant.AI Inc.","2026-03-31","DE","Other","기타","600000","200000","2","조달·물류·공급망","85","20","15","20","13","8","9","16","1~3개월","MySavant.ai는 운송·물류기업에 인접국 원격인력과 AI를 결합한 운영팀을 제공하고 성과기반 요금과 실시간 업무 가시성을 제공한다.","MySavant.ai is the AI-powered nearshore workforce built for the transportation and logistics industry. The AI-powered workforce for supply chain operations. Outcome-based pricing, AI + human hybrid teams, and real-time visibility.","RFQ·견적·발주·선적 문서가 흩어져 가격·납기·승인 예외를 놓치는 문제","RFQ·견적·발주·선적 문서를 읽고 누락·가격변경·납기 예외를 한 품목군에서 처리","최근 RFQ·견적 100건을 표준화해 누락·가격차·미응답을 찾아주는 유료 업무진단","업체당 월 80만~400만원 + 문서/거래 건수 + 온보딩비","중소 제조·수출기업의 구매·영업·물류 책임자","ERP·관세·물류 파트너, 산업단지와 품목별 직접 영업","거래처별 예외, 품목 매핑, 견적·납기 결과와 승인 데이터","ERP는 강하지만 중소 제조업의 이메일·엑셀 예외 처리는 수작업인 경우가 많음","이메일·엑셀·거래처 품목명을 국내 RFQ·발주 문서 형식에 맞게 처리","한국 수출기업에서 시작해 일본·동남아 공급사 문서와 이메일·WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","6~8주 MVP","https://www.mysavant.ai/","https://www.sec.gov/Archives/edgar/data/2125080/000212508026000001/0002125080-26-000001-index.html"
"100","추천","핵심","B","65","direct","BetterLogiq, Inc.","2025-09-29","DE","Other Technology","기타 기술","1500000","80000","1","조달·물류·공급망","85","20","15","20","13","8","9","3","1~3개월","BetterLogiq은 기업 공급망에 대한 AI 기반 수요 예측을 제공합니다. 15% 이상의 예측 정확도 향상을 달성하고 운전 자본을 5% 절감하며 10,000개 이상의 SKU에 대한 원클릭 예측을 생성합니다.","BetterLogiq delivers AI-powered demand forecasting for enterprise supply chains. Achieve 15%+ forecast accuracy improvement, reduce working capital by 5%, and generate one-click forecasts for 10,000+ SKUs.","RFQ·견적·발주·선적 문서가 흩어져 가격·납기·승인 예외를 놓치는 문제","RFQ·견적·발주·선적 문서를 읽고 누락·가격변경·납기 예외를 한 품목군에서 처리","최근 RFQ·견적 100건을 표준화해 누락·가격차·미응답을 찾아주는 유료 업무진단","업체당 월 80만~400만원 + 문서/거래 건수 + 온보딩비","중소 제조·수출기업의 구매·영업·물류 책임자","ERP·관세·물류 파트너, 산업단지와 품목별 직접 영업","거래처별 예외, 품목 매핑, 견적·납기 결과와 승인 데이터","ERP는 강하지만 중소 제조업의 이메일·엑셀 예외 처리는 수작업인 경우가 많음","이메일·엑셀·거래처 품목명을 국내 RFQ·발주 문서 형식에 맞게 처리","한국 수출기업에서 시작해 일본·동남아 공급사 문서와 이메일·WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","6~8주 MVP","https://betterlogiq.com/","https://www.sec.gov/Archives/edgar/data/2088768/000208876825000001/0002088768-25-000001-index.html"
"101","추천","핵심","B","65","direct","EyeTally.ai Inc.","2026-01-06","WA","Other Technology","기타 기술","","10000","1","조달·물류·공급망","85","20","15","20","13","8","9","5","1~3개월","EyeTally는 컴퓨터 비전으로 사진과 영상 속 물품 수량을 자동 계수해 재고조사의 오류와 소요시간을 줄인다.","Transform your inventory management with AI-powered visual counting. Reduce errors, save time, and get accurate results in seconds.","RFQ·견적·발주·선적 문서가 흩어져 가격·납기·승인 예외를 놓치는 문제","RFQ·견적·발주·선적 문서를 읽고 누락·가격변경·납기 예외를 한 품목군에서 처리","최근 RFQ·견적 100건을 표준화해 누락·가격차·미응답을 찾아주는 유료 업무진단","업체당 월 80만~400만원 + 문서/거래 건수 + 온보딩비","중소 제조·수출기업의 구매·영업·물류 책임자","ERP·관세·물류 파트너, 산업단지와 품목별 직접 영업","거래처별 예외, 품목 매핑, 견적·납기 결과와 승인 데이터","ERP는 강하지만 중소 제조업의 이메일·엑셀 예외 처리는 수작업인 경우가 많음","이메일·엑셀·거래처 품목명을 국내 RFQ·발주 문서 형식에 맞게 처리","한국 수출기업에서 시작해 일본·동남아 공급사 문서와 이메일·WhatsApp으로 확장","","공식 제품과 고객 인터뷰로 수요·가격·도입권한을 다시 검증","6~8주 MVP","https://eyetally.com/","https://www.sec.gov/Archives/edgar/data/2100115/000210011526000001/0002100115-26-000001-index.html"
"102","추천","핵심","A","78","direct","Talk to Fred LLC","2026-04-27","TX","Other Technology","기타 기술","488000","112500","4","마케팅·영업·고객운영","85","21","15","17","15","10","7","19","1~3개월","Fred는 웹사이트 콘텐츠를 근거로 방문자 질문에 답하고 잠재고객 정보를 수집하며 문자·음성으로 24시간 상담과 서비스 예약을 처리하는 AI 에이전트다.","Every lead gets an answer. Fred is the AI agent for your website that captures leads, answers from your content, and books the job, in text or voice, 24/7.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","대기업·공공 조달과 보안심사로 첫 매출이 느릴 수 있음 | 범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","대기업·공공 조달과 보안심사로 첫 매출이 느릴 수 있음","6~8주 MVP","https://talktofred.ai/","https://www.sec.gov/Archives/edgar/data/2131347/000213134726000001/0002131347-26-000001-index.html"
"103","조건부","응용","B","65","adjacent","Boon Technologies, Inc.","2025-01-28","CA","Other Technology","기타 기술","15499995","15499995","11","마케팅·영업·고객운영","84","22","17","16","14","9","6","10","30일","Boon은 ChatGPT·Claude·Gemini·Perplexity가 기업 브랜드와 경쟁사를 어떻게 설명하는지 감사해 생성형검색 노출과 영업 경쟁정보를 제공한다.","Your buyers research vendors through ChatGPT, Claude, Gemini and Perplexity before they ever talk to sales. Boon puts you in that research — GEO audits that show how AI assistants describe your brand, plus the competitive intelligence your team needs to win the deal.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","4~6주 MVP","https://boon.ai/","https://www.sec.gov/Archives/edgar/data/2051300/000205130025000001/0002051300-25-000001-index.html"
"104","조건부","응용","B","65","adjacent","Feedcoyote Inc.","2026-02-19","MN","Other Technology","기타 기술","1000000","475000","4","마케팅·영업·고객운영","84","20","17","16","15","10","6","16","30일","Feedcoyote는 프리랜서, 개인사업자, 중소기업 오너들과 연결하고 효율적으로 업무를 수행하여 더 많은 수익을 창출할 수 있는 CRM 기능을 갖춘 최고의 프리랜서 네트워크입니다.","Feedcoyote is the Best Freelance Network equipped with CRM capabilities where you can Connect with freelancers, solopreneurs and small business owners and work efficiently to make more money.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택 | 원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","6~8주 MVP","https://feedcoyote.com/","https://www.sec.gov/Archives/edgar/data/2112127/000211212726000001/0002112127-26-000001-index.html"
"105","조건부","응용","B","65","adjacent","BizBridge Capital, LLC","2025-10-01","TN","Other","기타","900000","327000","9","마케팅·영업·고객운영","84","22","17","16","14","9","6","14","30일","우리는 전문 지식과 기술을 사용하여 사업주와 새로운 세대의 소유권 및 부를 연결하는 다리를 구축합니다. 당사의 안내 프로세스는 향상된 마케팅 기술, 지능형 구매자-판매자 매칭 및 전체 거래 여정에 따른 지원을 통해 거래 종료 및 전환 성공의 속도와 가능성을 높입니다.","We use our expertise and technology to build the bridge between business owners and new generations of ownership and wealth. Our guided process elevates the speed and chances of deal closure and transition success through enhanced marketing techniques, intelligent buyer-seller matching, and support along the entire deal journey.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","4~6주 MVP","https://www.bizbridge.io/","https://www.sec.gov/Archives/edgar/data/2079086/000207908625000001/0002079086-25-000001-index.html"
"106","조건부","응용","B","65","adjacent","FoodSocial, Inc.","2025-05-28","PA","Other Technology","기타 기술","250000","55000","3","마케팅·영업·고객운영","84","22","17","16","14","9","6","6","30일","FoodSocial은 고품질 콘텐츠를 공유하는 레시피 및 식사 계획 제작자 커뮤니티입니다.","FoodSocial is a community of recipe and meal plan creators that share high quality content.","콘텐츠·문의·고객대화가 매출 행동으로 연결되지 않고 사람이 채널마다 반복 처리하는 문제","문의·리뷰·콘텐츠를 예약·구매·재방문 행동까지 연결하는 업종 특화 도구","최근 문의·리뷰 200건을 매출 행동으로 분류하고 2주간 후속메시지를 실행하는 유료 파일럿","브랜드/지점당 월 30만~200만원 + 채널·전환 건수","예약·상담·반복구매가 중요한 중소 브랜드와 서비스업체","네이버·카카오·스마트스토어 대행사, 업종 커뮤니티, 매출 사례 직접 영업","채널 연동, 업종별 콘텐츠·대화 성과와 실제 예약·구매 전환 데이터","CRM·채널 상담 도구가 많으므로 업종별 예약·매출 귀속까지 완료해야 차별화","네이버·카카오·인스타그램·스마트스토어 문의를 예약·구매·재방문 결과까지 연결","한국 업종별 전환 데이터를 쌓은 뒤 일본 LINE과 동남아 WhatsApp으로 확장","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","4~6주 MVP","https://foodsocial.io/","https://www.sec.gov/Archives/edgar/data/1992294/000185671125000002/0001856711-25-000002-index.html"
"107","조건부","응용","A","85","adjacent","Stella Automotive AI, Inc.","2026-06-17","FL","Other Technology","기타 기술","25996596","21994745","29","음성·프런트데스크","84","20","16","19","14","8","7","15","1~3개월","자동차 딜러의 전화를 24시간 받고 정비 예약과 고객 문의를 처리하는 대화형 AI 음성 상담원이다.","Meet STELLA: The conversational AI voice assistant for automotive dealerships. Answer calls 24/7, book service appointments, and eliminate missed opportunities.","전화 미응답·예약 변경·반복 문의 때문에 직원 시간이 들고 예약 매출이 새는 문제","전화 접수·예약·미응답 후속연락을 한 업종의 규칙과 사람 전환까지 포함해 자동화","최근 놓친 전화 100건을 분석하고 2주간 예약 완료형 AI 상담원을 운영하는 유료 파일럿","지점당 월 40만~150만원 + 통화량 + 초기 설정비","예약 전화가 매출로 이어지는 치과·정비·수리·전문서비스 사업자","업종별 사업자 명단 직접 영업, 전화·예약 구축 파트너, 협회 사례 발표","업종별 통화 결과, 예약 전환, 실패·사람 전환 규칙과 한국어 대화 평가셋","국내 AICC·보이스봇·예약 솔루션이 인접하므로 범용 상담보다 한 업종의 예약 완료에 집중","국내 전화망·네이버예약·카카오 채널과 존댓말·사람 연결 규칙을 묶어 한 업종에 판매","한국에서 예약 완료율을 검증한 뒤 일본·호주 현지 전화·예약 채널로 확장","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택 | 원회사는 소프트웨어 전용이 아니므로 AI 업무전환 가설을 추가 검증","범용 플랫폼 전체가 아니라 한 업무와 한 구매자만 선택","6~8주 MVP","https://stellaautomotive.com/","https://www.sec.gov/Archives/edgar/data/1980116/000198011626000003/0001980116-26-000003-index.html"
